id,x,y,diameter,neighbors,distances,angles,units,um/px
0,608.1363525390625,502.9545593261719,8.74359130859375,"[8, 17, 4, 25]",[17.35 20.21 22.81 35.3 ],[ -22.7  -107.46 -159.73  -47.1 ],pixels,0.6666666666666666
1,474.2878723144531,502.92425537109375,14.873122215270996,"[5, 24, 13, 32]",[22.27 24.47 24.76 40.02],[-168.06 -106.8   -37.73  -69.73],pixels,0.6666666666666666
2,202.688232421875,500.4294128417969,11.8023681640625,"[11, 21, 9, 27]",[15.53 23.12 24.32 34.76],[-125.4   -53.32 -171.46 -119.28],pixels,0.6666666666666666
3,318.0882263183594,501.0882263183594,16.365633010864258,"[16, 19, 6, 20]",[19.42 25.01 25.28 42.27],[ -60.56 -130.62   -2.07  -29.15],pixels,0.6666666666666666
4,586.7413940429688,495.0517272949219,6.848453044891357,"[18, 17, 0, 35]",[17.96 19.09 22.81 35.03],[-117.11  -36.57   20.27  -85.6 ],pixels,0.6666666666666666
5,452.5,498.31817626953125,14.445887565612793,"[1, 24, 29, 13]",[22.27 23.89 31.48 42.69],[  11.94  -51.98 -109.93  -14.3 ],pixels,0.6666666666666666
6,343.34783935546875,500.1739196777344,16.568763732910156,"[16, 20, 3, 37]",[22.42 22.87 25.28 39.15],[-134.48  -59.36  177.93  -95.72],pixels,0.6666666666666666
7,65.5,494.5,7.071267604827881,"[22, 14, 40, 33]",[15.87 28.54 37.28 41.  ],[-117.43 -165.91  -87.29 -129.87],pixels,0.6666666666666666
8,624.1400146484375,496.260009765625,11.158559799194336,"[0, 25, 17, 28]",[17.35 20.77 25.4  31.36],[ 157.3   -67.28 -150.31 -105.96],pixels,0.6666666666666666
9,178.63636779785156,496.81817626953125,12.088035583496094,"[11, 23, 2, 27]",[17.57 21.89 24.32 27.62],[ -31.01 -127.16    8.54  -75.21],pixels,0.6666666666666666
10,746.962158203125,493.02099609375,14.499381065368652,"[15, 12, 31, 25]",[ 20.85  21.92  25.17 115.9 ],[ -30.08 -156.41  -92.47 -172.1 ],pixels,0.6666666666666666
11,193.6923065185547,487.76922607421875,10.029736518859863,"[2, 9, 27, 21]",[15.53 17.57 19.39 23.55],[  54.6   148.99 -114.39  -14.46],pixels,0.6666666666666666
12,726.875,484.25,6.731655597686768,"[10, 31, 15, 25]",[21.92 25.08 38.16 94.98],[  23.59  -40.74   -2.52 -175.68],pixels,0.6666666666666666
13,493.86956787109375,487.771728515625,16.133272171020508,"[26, 32, 1, 24]",[20.66 23.11 24.76 27.91],[ -65.31 -104.32  142.27 -162.76],pixels,0.6666666666666666
14,37.82283401489258,487.55511474609375,16.392166137695312,"[22, 33, 7, 42]",[21.58 24.56 28.54 41.17],[-19.31 -86.74  14.09 -84.24],pixels,0.6666666666666666
15,765.0,482.5714416503906,7.143032073974609,"[10, 31, 12, 53]",[ 20.85  24.11  38.16 122.97],[ 149.92 -142.46  177.48 -100.07],pixels,0.6666666666666666
16,327.6351318359375,484.1756896972656,10.855853080749512,"[3, 6, 37, 19]",[19.42 22.42 25.81 25.91],[ 119.44   45.52  -62.77 -175.42],pixels,0.6666666666666666
17,602.0733642578125,483.67889404296875,20.157270431518555,"[4, 0, 28, 18]",[19.09 20.21 22.12 23.97],[ 143.43   72.54  -52.58 -168.89],pixels,0.6666666666666666
18,578.5548095703125,479.0616455078125,12.0429048538208,"[4, 35, 17, 0]",[17.96 21.84 23.97 38.03],[ 62.89 -60.13  11.11  38.93],pixels,0.6666666666666666
19,301.8103332519531,482.1069030761719,16.81144142150879,"[36, 3, 16, 37]",[24.45 25.01 25.91 43.04],[-71.85  49.38   4.58 -29.03],pixels,0.6666666666666666
20,355.0,480.5,15.652676582336426,"[6, 37, 16, 3]",[22.87 24.77 27.61 42.27],[ 120.64 -128.9   172.35  150.85],pixels,0.6666666666666666
21,216.5,481.8888854980469,18.467716217041016,"[30, 2, 11, 38]",[20.16 23.12 23.55 26.49],[ -73.56  126.68  165.54 -117.  ],pixels,0.6666666666666666
22,58.18987274169922,480.417724609375,16.452098846435547,"[7, 14, 40, 33]",[15.87 21.58 24.87 25.73],[  62.57  160.69  -68.6  -137.5 ],pixels,0.6666666666666666
23,165.41488647460938,479.3723449707031,15.515768051147461,"[9, 27, 39, 11]",[21.89 22.29 22.73 29.5 ],[ 52.84 -24.56 -88.55  16.54],pixels,0.6666666666666666
24,467.21429443359375,479.5,18.269149780273438,"[5, 1, 32, 41]",[23.89 24.47 25.25 26.1 ],[128.02  73.2  -33.98 -90.74],pixels,0.6666666666666666
25,632.1624145507812,477.0987243652344,16.856040954589844,"[28, 34, 8, 17]",[19.95 20.43 20.77 30.8 ],[-146.57 -100.33  112.72  167.66],pixels,0.6666666666666666
26,502.5,469.0,9.219744682312012,"[32, 13, 47, 24]",[14.79 20.66 30.4  36.81],[-165.86  114.69 -126.3   163.43],pixels,0.6666666666666666
27,185.6864471435547,470.11016845703125,16.5674991607666,"[11, 38, 23, 45]",[19.39 22.2  22.29 22.75],[ 65.61 -32.19 155.44 -96.36],pixels,0.6666666666666666
28,615.5169677734375,466.11016845703125,10.968478202819824,"[34, 46, 25, 17]",[15.86 19.74 19.95 22.12],[ -35.06 -114.36   33.43  127.42],pixels,0.6666666666666666
29,441.769775390625,468.7185974121094,19.59250259399414,"[43, 24, 41, 5]",[22.39 27.63 29.41 31.48],[-70.68  22.96 -31.38  70.07],pixels,0.6666666666666666
30,222.2073211669922,462.54876708984375,8.193634986877441,"[38, 21, 48, 27]",[18.24 20.16 32.36 37.3 ],[-166.48  106.44 -134.57  168.3 ],pixels,0.6666666666666666
31,745.8793334960938,467.8793029785156,20.919864654541016,"[15, 12, 10, 53]",[ 24.11  25.08  25.17 106.41],[ 37.54 139.26  87.53 -91.28],pixels,0.6666666666666666
32,488.1538391113281,465.3846130371094,15.828420639038086,"[26, 47, 13, 41]",[14.79 21.2  23.11 24.42],[  14.14  -99.92   75.68 -150.62],pixels,0.6666666666666666
33,39.21831130981445,463.03521728515625,18.537525177001953,"[42, 14, 22, 40]",[16.67 24.56 25.73 28.63],[-80.55  93.26  42.5  -11.63],pixels,0.6666666666666666
